edge_id,from_node,to_node,distance_km,estimated_time_min,road_type,crosses_nh66,bidirectional,source,confidence
edge_001,node_dept_cse,node_dept_ece,0.025,0.07,internal_campus_road,False,True,openstreetmap,high
edge_002,node_dept_ece,node_dept_it,0.034,0.1,internal_campus_road,False,True,openstreetmap,high
edge_003,node_dept_it,node_dept_eee,0.025,0.07,internal_campus_road,False,True,openstreetmap,high
edge_004,node_dept_cse,node_dept_civil,0.35,1.4,underpass_crossing,True,True,openstreetmap,high
edge_005,node_dept_ece,node_dept_civil,0.35,1.4,underpass_crossing,True,True,openstreetmap,high
edge_006,node_dept_cse,node_main_gate,0.35,1.4,underpass_crossing,True,True,openstreetmap,high
edge_007,node_main_gate,node_main_building,0.134,0.4,internal_campus_road,False,True,openstreetmap,high
edge_008,node_main_gate,node_dept_civil,0.162,0.49,internal_campus_road,False,True,openstreetmap,high
edge_009,node_main_building,node_central_library,0.109,0.33,internal_campus_road,False,True,openstreetmap,high
edge_010,node_central_library,node_lhc_a,0.023,0.28,walking_path,False,True,estimated,high
edge_011,node_lhc_a,node_lhc_b,0.056,0.67,walking_path,False,True,estimated,high
edge_012,node_central_library,node_e_library,0.076,0.23,internal_campus_road,False,True,openstreetmap,high
edge_013,node_main_building,node_e_library,0.124,0.37,internal_campus_road,False,True,openstreetmap,high
edge_014,node_central_library,node_dept_macs,0.049,0.15,internal_campus_road,False,True,openstreetmap,high
edge_015,node_lhc_b,node_dept_macs,0.03,0.36,walking_path,False,True,openstreetmap,high
edge_016,node_dept_macs,node_dept_hssm,0.094,0.28,internal_campus_road,False,True,openstreetmap,high
edge_017,node_dept_hssm,node_dept_physics,0.027,0.08,internal_campus_road,False,True,openstreetmap,high
edge_018,node_dept_physics,node_dept_chemistry,0.05,0.15,internal_campus_road,False,True,openstreetmap,high
edge_019,node_dept_civil,node_dept_mining,0.05,0.15,internal_campus_road,False,True,openstreetmap,high
edge_020,node_dept_civil,node_dept_wroe,0.109,0.33,internal_campus_road,False,True,openstreetmap,high
edge_021,node_dept_wroe,node_dept_mech,0.172,0.52,internal_campus_road,False,True,openstreetmap,high
edge_022,node_dept_mech,node_dept_chem,0.103,0.31,internal_campus_road,False,True,openstreetmap,high
edge_023,node_dept_chem,node_dept_mme,0.162,0.49,internal_campus_road,False,True,openstreetmap,high
edge_024,node_dept_mme,node_e_library,0.077,0.23,internal_campus_road,False,True,openstreetmap,high
edge_025,node_dept_mme,node_main_building,0.108,0.32,internal_campus_road,False,True,openstreetmap,high
edge_026,node_dept_mining,node_main_building,0.132,0.4,internal_campus_road,False,True,openstreetmap,high
edge_027,node_dept_mining,node_central_library,0.239,0.72,internal_campus_road,False,True,openstreetmap,high
edge_028,node_dept_civil,node_hostel_g_gh2,0.181,0.54,internal_campus_road,False,True,openstreetmap,high
edge_029,node_dept_wroe,node_hostel_g_gh1,0.15,0.45,internal_campus_road,False,True,estimated,medium
