origin_id,destination_id,distance_km
loc_boys_coop,loc_boys_coop,0.0
loc_boys_coop,loc_central_library,0.184
loc_boys_coop,dept_chem,0.499
loc_boys_coop,dept_chemistry,0.124
loc_boys_coop,dept_civil,0.473
loc_boys_coop,dept_cse,0.777
loc_boys_coop,dept_ece,0.802
loc_boys_coop,dept_eee,0.861
loc_boys_coop,dept_hssm,0.201
loc_boys_coop,dept_it,0.836
loc_boys_coop,dept_macs,0.135
loc_boys_coop,dept_mech,0.602
loc_boys_coop,dept_mining,0.423
loc_boys_coop,dept_mme,0.337
loc_boys_coop,dept_physics,0.174
loc_boys_coop,dept_wroe,0.582
loc_boys_coop,loc_e_library,0.26
loc_boys_coop,loc_girls_coop,0.748
loc_boys_coop,hostel_b_block1,0.419
loc_boys_coop,hostel_b_block2,0.529
loc_boys_coop,hostel_b_block3,0.526
loc_boys_coop,hostel_b_block4,0.406
loc_boys_coop,hostel_b_block5,0.449
loc_boys_coop,hostel_b_block6,0.599
loc_boys_coop,hostel_b_block7,0.288
loc_boys_coop,hostel_b_block8,0.178
loc_boys_coop,hostel_b_brahmagiri,0.489
loc_boys_coop,hostel_b_mt1,0.14
loc_boys_coop,hostel_b_mt2,0.26
loc_boys_coop,hostel_b_mt3,0.325
loc_boys_coop,hostel_b_shivalik,0.082
loc_boys_coop,hostel_g_gh1,0.715
loc_boys_coop,hostel_g_gh2,0.654
loc_boys_coop,hostel_g_gh3,0.725
loc_boys_coop,hostel_g_gh4,0.765
loc_boys_coop,hostel_g_gh5,0.758
loc_boys_coop,hostel_g_gh6,0.698
loc_boys_coop,loc_lhc_a,0.161
loc_boys_coop,loc_lhc_b,0.105
loc_boys_coop,loc_main_building,0.293
loc_boys_coop,loc_main_gate,0.427
loc_boys_coop,mess_b1_karavali,0.434
loc_boys_coop,mess_b2_aravali,0.544
loc_boys_coop,mess_b3_vindhya,0.541
loc_boys_coop,mess_b4_satpura,0.421
loc_boys_coop,mess_b5_nilgiri,0.464
loc_boys_coop,mess_b7_sahyadri,0.303
loc_boys_coop,mess_b8_trishul,0.193
loc_boys_coop,mess_gb,0.35
loc_boys_coop,mess_mega,0.208
loc_boys_coop,mess_pg_new_brahmagiri,0.504
loc_boys_coop,mess_pg_pushpagiri,0.614
loc_boys_coop,loc_suprabha_boys,0.379
loc_boys_coop,loc_suprabha_girls,0.763
loc_central_library,loc_boys_coop,0.184
loc_central_library,loc_central_library,0.0
loc_central_library,dept_chem,0.315
loc_central_library,dept_chemistry,0.22
loc_central_library,dept_civil,0.289
loc_central_library,dept_cse,0.593
loc_central_library,dept_ece,0.618
loc_central_library,dept_eee,0.677
loc_central_library,dept_hssm,0.143
loc_central_library,dept_it,0.652
loc_central_library,dept_macs,0.049
loc_central_library,dept_mech,0.418
loc_central_library,dept_mining,0.239
loc_central_library,dept_mme,0.153
loc_central_library,dept_physics,0.17
loc_central_library,dept_wroe,0.398
loc_central_library,loc_e_library,0.076
loc_central_library,loc_girls_coop,0.564
loc_central_library,hostel_b_block1,0.603
loc_central_library,hostel_b_block2,0.713
loc_central_library,hostel_b_block3,0.71
loc_central_library,hostel_b_block4,0.59
loc_central_library,hostel_b_block5,0.633
loc_central_library,hostel_b_block6,0.783
loc_central_library,hostel_b_block7,0.472
loc_central_library,hostel_b_block8,0.362
loc_central_library,hostel_b_brahmagiri,0.673
loc_central_library,hostel_b_mt1,0.324
loc_central_library,hostel_b_mt2,0.444
loc_central_library,hostel_b_mt3,0.509
loc_central_library,hostel_b_shivalik,0.266
loc_central_library,hostel_g_gh1,0.531
loc_central_library,hostel_g_gh2,0.47
loc_central_library,hostel_g_gh3,0.541
loc_central_library,hostel_g_gh4,0.581
loc_central_library,hostel_g_gh5,0.574
loc_central_library,hostel_g_gh6,0.514
loc_central_library,loc_lhc_a,0.023
loc_central_library,loc_lhc_b,0.079
loc_central_library,loc_main_building,0.109
loc_central_library,loc_main_gate,0.243
loc_central_library,mess_b1_karavali,0.618
loc_central_library,mess_b2_aravali,0.728
loc_central_library,mess_b3_vindhya,0.725
loc_central_library,mess_b4_satpura,0.605
loc_central_library,mess_b5_nilgiri,0.648
loc_central_library,mess_b7_sahyadri,0.487
loc_central_library,mess_b8_trishul,0.377
loc_central_library,mess_gb,0.534
loc_central_library,mess_mega,0.392
loc_central_library,mess_pg_new_brahmagiri,0.688
loc_central_library,mess_pg_pushpagiri,0.798
loc_central_library,loc_suprabha_boys,0.563
loc_central_library,loc_suprabha_girls,0.579
dept_chem,loc_boys_coop,0.499
dept_chem,loc_central_library,0.315
dept_chem,dept_chem,0.0
dept_chem,dept_chemistry,0.535
dept_chem,dept_civil,0.384
dept_chem,dept_cse,0.734
dept_chem,dept_ece,0.734
dept_chem,dept_eee,0.793
dept_chem,dept_hssm,0.458
dept_chem,dept_it,0.768
dept_chem,dept_macs,0.364
dept_chem,dept_mech,0.103
dept_chem,dept_mining,0.402
dept_chem,dept_mme,0.162
dept_chem,dept_physics,0.485
dept_chem,dept_wroe,0.275
dept_chem,loc_e_library,0.239
dept_chem,loc_girls_coop,0.249
dept_chem,hostel_b_block1,0.918
dept_chem,hostel_b_block2,1.028
dept_chem,hostel_b_block3,1.025
dept_chem,hostel_b_block4,0.905
dept_chem,hostel_b_block5,0.948
dept_chem,hostel_b_block6,1.098
dept_chem,hostel_b_block7,0.787
dept_chem,hostel_b_block8,0.677
dept_chem,hostel_b_brahmagiri,0.988
dept_chem,hostel_b_mt1,0.639
dept_chem,hostel_b_mt2,0.759
dept_chem,hostel_b_mt3,0.824
dept_chem,hostel_b_shivalik,0.581
dept_chem,hostel_g_gh1,0.425
dept_chem,hostel_g_gh2,0.415
dept_chem,hostel_g_gh3,0.344
dept_chem,hostel_g_gh4,0.304
dept_chem,hostel_g_gh5,0.259
dept_chem,hostel_g_gh6,0.199
dept_chem,loc_lhc_a,0.338
dept_chem,loc_lhc_b,0.394
dept_chem,loc_main_building,0.27
dept_chem,loc_main_gate,0.404
dept_chem,mess_b1_karavali,0.933
dept_chem,mess_b2_aravali,1.043
dept_chem,mess_b3_vindhya,1.04
dept_chem,mess_b4_satpura,0.92
dept_chem,mess_b5_nilgiri,0.963
dept_chem,mess_b7_sahyadri,0.802
dept_chem,mess_b8_trishul,0.692
dept_chem,mess_gb,0.849
dept_chem,mess_mega,0.707
dept_chem,mess_pg_new_brahmagiri,1.003
dept_chem,mess_pg_pushpagiri,1.113
dept_chem,loc_suprabha_boys,0.878
dept_chem,loc_suprabha_girls,0.264
dept_chemistry,loc_boys_coop,0.124
dept_chemistry,loc_central_library,0.22
dept_chemistry,dept_chem,0.535
dept_chemistry,dept_chemistry,0.0
dept_chemistry,dept_civil,0.509
dept_chemistry,dept_cse,0.813
dept_chemistry,dept_ece,0.838
dept_chemistry,dept_eee,0.897
dept_chemistry,dept_hssm,0.077
dept_chemistry,dept_it,0.872
dept_chemistry,dept_macs,0.171
dept_chemistry,dept_mech,0.638
dept_chemistry,dept_mining,0.459
dept_chemistry,dept_mme,0.373
dept_chemistry,dept_physics,0.05
dept_chemistry,dept_wroe,0.618
dept_chemistry,loc_e_library,0.296
dept_chemistry,loc_girls_coop,0.784
dept_chemistry,hostel_b_block1,0.543
dept_chemistry,hostel_b_block2,0.653
dept_chemistry,hostel_b_block3,0.65
dept_chemistry,hostel_b_block4,0.53
dept_chemistry,hostel_b_block5,0.573
dept_chemistry,hostel_b_block6,0.723
dept_chemistry,hostel_b_block7,0.412
dept_chemistry,hostel_b_block8,0.302
dept_chemistry,hostel_b_brahmagiri,0.613
dept_chemistry,hostel_b_mt1,0.264
dept_chemistry,hostel_b_mt2,0.384
dept_chemistry,hostel_b_mt3,0.449
dept_chemistry,hostel_b_shivalik,0.206
dept_chemistry,hostel_g_gh1,0.751
dept_chemistry,hostel_g_gh2,0.69
dept_chemistry,hostel_g_gh3,0.761
dept_chemistry,hostel_g_gh4,0.801
dept_chemistry,hostel_g_gh5,0.794
dept_chemistry,hostel_g_gh6,0.734
dept_chemistry,loc_lhc_a,0.243
