vehicle_id,request_id,pickup_order,origin_id,destination_id,passenger_count,distance,travel_time,wait_time,pooled,route_status
vehicle_001,req_20260901_0005,1,dept_mining,dept_hssm,1,0.382,1.15,0.0,False,assigned
vehicle_002,req_20260901_0002,1,hostel_b_block8,loc_lhc_b,2,0.283,1.02,0.0,False,assigned
vehicle_001,req_20260901_0008,2,hostel_g_gh2,mess_b3_vindhya,1,1.195,4.37,0.0,True,assigned
vehicle_001,req_20260901_0001,3,hostel_g_gh4,dept_hssm,2,0.724,2.28,0.0,True,assigned
vehicle_003,req_20260901_0003,1,hostel_b_block2,loc_lhc_a,1,0.69,2.67,0.0,False,assigned
vehicle_004,req_20260901_0006,1,hostel_b_mt1,loc_lhc_a,1,0.301,1.4,0.0,False,assigned
vehicle_005,req_20260901_0009,1,hostel_b_mt3,dept_wroe,1,0.907,3.16,0.0,False,assigned
vehicle_006,req_20260901_0004,1,hostel_b_block4,mess_b3_vindhya,1,0.135,0.66,0.0,False,assigned
vehicle_005,req_20260901_0007,2,hostel_b_block6,dept_chemistry,1,0.723,2.34,0.0,True,assigned
vehicle_007,req_20260901_0054,1,hostel_b_block7,loc_lhc_b,1,0.393,1.17,0.0,False,assigned
vehicle_007,req_20260901_0025,2,hostel_b_mt2,loc_central_library,1,0.444,1.6,0.0,True,assigned
vehicle_007,req_20260901_0029,3,hostel_b_block4,dept_physics,1,0.58,2.0,0.0,True,assigned
vehicle_007,req_20260901_0018,4,hostel_b_block4,dept_hssm,1,0.607,2.08,0.0,True,assigned
vehicle_008,req_20260901_0047,1,dept_civil,hostel_b_mt2,1,0.733,2.47,0.0,False,assigned
vehicle_008,req_20260901_0019,2,hostel_b_block4,hostel_g_gh6,1,1.104,3.85,0.0,True,assigned
vehicle_008,req_20260901_0020,3,hostel_b_block6,dept_mech,1,1.201,4.05,0.0,True,assigned
vehicle_008,req_20260901_0048,4,hostel_b_mt2,dept_physics,1,0.434,1.3,0.0,True,assigned
