request_id,request_date,request_time,origin_id,destination_id,passenger_count,request_type,priority,max_wait_min,status
req_20260901_0005,2026-09-01,05:09,dept_mining,dept_hssm,1,student,normal,9.6,pending
req_20260901_0002,2026-09-01,05:11,hostel_b_block8,loc_lhc_b,2,student,normal,9.6,pending
req_20260901_0008,2026-09-01,05:16,hostel_g_gh2,mess_b3_vindhya,1,student,normal,12.7,pending
req_20260901_0001,2026-09-01,05:24,hostel_g_gh4,dept_hssm,2,faculty,normal,8.9,pending
req_20260901_0003,2026-09-01,05:33,hostel_b_block2,loc_lhc_a,1,student,high,7.6,pending
req_20260901_0006,2026-09-01,05:56,hostel_b_mt1,loc_lhc_a,1,student,normal,13.6,pending
req_20260901_0009,2026-09-01,06:08,hostel_b_mt3,dept_wroe,1,student,normal,8.2,pending
req_20260901_0004,2026-09-01,06:15,hostel_b_block4,mess_b3_vindhya,1,student,normal,13.2,pending
req_20260901_0007,2026-09-01,06:16,hostel_b_block6,dept_chemistry,1,student,normal,12.7,pending
req_20260901_0054,2026-09-01,07:02,hostel_b_block7,loc_lhc_b,1,student,high,7.5,pending
req_20260901_0025,2026-09-01,07:03,hostel_b_mt2,loc_central_library,1,student,normal,13.2,pending
req_20260901_0029,2026-09-01,07:04,hostel_b_block4,dept_physics,1,student,normal,14.5,pending
req_20260901_0018,2026-09-01,07:07,hostel_b_block4,dept_hssm,1,student,normal,8.2,pending
req_20260901_0047,2026-09-01,07:09,dept_civil,hostel_b_mt2,1,student,normal,12.0,pending
req_20260901_0019,2026-09-01,07:11,hostel_b_block4,hostel_g_gh6,1,student,high,6.3,pending
req_20260901_0020,2026-09-01,07:14,hostel_b_block6,dept_mech,1,student,normal,13.8,pending
req_20260901_0048,2026-09-01,07:17,hostel_b_mt2,dept_physics,1,student,normal,14.5,pending
req_20260901_0040,2026-09-01,07:18,hostel_g_gh5,loc_e_library,2,student,normal,13.5,pending
req_20260901_0022,2026-09-01,07:19,hostel_b_block3,dept_hssm,1,student,normal,10.6,pending
