origin_id,destination_id,travel_time_min
loc_boys_coop,loc_boys_coop,0.0
loc_boys_coop,loc_central_library,0.82
loc_boys_coop,dept_chem,1.77
loc_boys_coop,dept_chemistry,0.37
loc_boys_coop,dept_civil,1.69
loc_boys_coop,dept_cse,2.95
loc_boys_coop,dept_ece,3.02
loc_boys_coop,dept_eee,3.19
loc_boys_coop,dept_hssm,0.6
loc_boys_coop,dept_it,3.12
loc_boys_coop,dept_macs,0.67
loc_boys_coop,dept_mech,2.08
loc_boys_coop,dept_mining,1.54
loc_boys_coop,dept_mme,1.28
loc_boys_coop,dept_physics,0.52
loc_boys_coop,dept_wroe,2.02
loc_boys_coop,loc_e_library,1.05
loc_boys_coop,loc_girls_coop,2.97
loc_boys_coop,hostel_b_block1,1.25
loc_boys_coop,hostel_b_block2,1.69
loc_boys_coop,hostel_b_block3,1.96
loc_boys_coop,hostel_b_block4,1.48
loc_boys_coop,hostel_b_block5,2.02
loc_boys_coop,hostel_b_block6,1.97
loc_boys_coop,hostel_b_block7,0.86
loc_boys_coop,hostel_b_block8,0.71
loc_boys_coop,hostel_b_brahmagiri,1.53
loc_boys_coop,hostel_b_mt1,0.42
loc_boys_coop,hostel_b_mt2,0.78
loc_boys_coop,hostel_b_mt3,1.14
loc_boys_coop,hostel_b_shivalik,0.33
loc_boys_coop,hostel_g_gh1,2.47
loc_boys_coop,hostel_g_gh2,2.23
loc_boys_coop,hostel_g_gh3,2.51
loc_boys_coop,hostel_g_gh4,2.67
loc_boys_coop,hostel_g_gh5,2.61
loc_boys_coop,hostel_g_gh6,2.37
loc_boys_coop,loc_lhc_a,0.98
loc_boys_coop,loc_lhc_b,0.31
loc_boys_coop,loc_main_building,1.15
loc_boys_coop,loc_main_gate,1.55
loc_boys_coop,mess_b1_karavali,1.43
loc_boys_coop,mess_b2_aravali,1.87
loc_boys_coop,mess_b3_vindhya,2.14
loc_boys_coop,mess_b4_satpura,1.66
loc_boys_coop,mess_b5_nilgiri,2.2
loc_boys_coop,mess_b7_sahyadri,1.04
loc_boys_coop,mess_b8_trishul,0.89
loc_boys_coop,mess_gb,1.6
loc_boys_coop,mess_mega,0.69
loc_boys_coop,mess_pg_new_brahmagiri,1.71
loc_boys_coop,mess_pg_pushpagiri,2.15
loc_boys_coop,loc_suprabha_boys,1.26
loc_boys_coop,loc_suprabha_girls,3.15
loc_central_library,loc_boys_coop,0.82
loc_central_library,loc_central_library,0.0
loc_central_library,dept_chem,0.95
loc_central_library,dept_chemistry,0.66
loc_central_library,dept_civil,0.87
loc_central_library,dept_cse,2.13
loc_central_library,dept_ece,2.2
loc_central_library,dept_eee,2.37
loc_central_library,dept_hssm,0.43
loc_central_library,dept_it,2.3
loc_central_library,dept_macs,0.15
loc_central_library,dept_mech,1.26
loc_central_library,dept_mining,0.72
loc_central_library,dept_mme,0.46
loc_central_library,dept_physics,0.51
loc_central_library,dept_wroe,1.2
loc_central_library,loc_e_library,0.23
loc_central_library,loc_girls_coop,2.15
loc_central_library,hostel_b_block1,2.07
loc_central_library,hostel_b_block2,2.51
loc_central_library,hostel_b_block3,2.78
loc_central_library,hostel_b_block4,2.3
loc_central_library,hostel_b_block5,2.84
loc_central_library,hostel_b_block6,2.79
loc_central_library,hostel_b_block7,1.68
loc_central_library,hostel_b_block8,1.53
loc_central_library,hostel_b_brahmagiri,2.35
loc_central_library,hostel_b_mt1,1.24
loc_central_library,hostel_b_mt2,1.6
loc_central_library,hostel_b_mt3,1.96
loc_central_library,hostel_b_shivalik,1.15
loc_central_library,hostel_g_gh1,1.65
loc_central_library,hostel_g_gh2,1.41
loc_central_library,hostel_g_gh3,1.69
loc_central_library,hostel_g_gh4,1.85
loc_central_library,hostel_g_gh5,1.79
loc_central_library,hostel_g_gh6,1.55
loc_central_library,loc_lhc_a,0.28
loc_central_library,loc_lhc_b,0.51
loc_central_library,loc_main_building,0.33
loc_central_library,loc_main_gate,0.73
loc_central_library,mess_b1_karavali,2.25
loc_central_library,mess_b2_aravali,2.69
loc_central_library,mess_b3_vindhya,2.96
loc_central_library,mess_b4_satpura,2.48
loc_central_library,mess_b5_nilgiri,3.02
loc_central_library,mess_b7_sahyadri,1.86
loc_central_library,mess_b8_trishul,1.71
loc_central_library,mess_gb,2.42
loc_central_library,mess_mega,1.51
loc_central_library,mess_pg_new_brahmagiri,2.53
loc_central_library,mess_pg_pushpagiri,2.97
loc_central_library,loc_suprabha_boys,2.08
loc_central_library,loc_suprabha_girls,2.33
dept_chem,loc_boys_coop,1.77
dept_chem,loc_central_library,0.95
dept_chem,dept_chem,0.0
dept_chem,dept_chemistry,1.61
dept_chem,dept_civil,1.16
dept_chem,dept_cse,2.56
dept_chem,dept_ece,2.56
dept_chem,dept_eee,2.73
dept_chem,dept_hssm,1.38
dept_chem,dept_it,2.66
dept_chem,dept_macs,1.1
dept_chem,dept_mech,0.31
dept_chem,dept_mining,1.21
dept_chem,dept_mme,0.49
dept_chem,dept_physics,1.46
dept_chem,dept_wroe,0.83
dept_chem,loc_e_library,0.72
dept_chem,loc_girls_coop,1.2
dept_chem,hostel_b_block1,3.02
dept_chem,hostel_b_block2,3.46
dept_chem,hostel_b_block3,3.73
dept_chem,hostel_b_block4,3.25
dept_chem,hostel_b_block5,3.79
dept_chem,hostel_b_block6,3.74
dept_chem,hostel_b_block7,2.63
dept_chem,hostel_b_block8,2.48
dept_chem,hostel_b_brahmagiri,3.3
dept_chem,hostel_b_mt1,2.19
dept_chem,hostel_b_mt2,2.55
dept_chem,hostel_b_mt3,2.91
dept_chem,hostel_b_shivalik,2.1
dept_chem,hostel_g_gh1,1.28
dept_chem,hostel_g_gh2,1.46
dept_chem,hostel_g_gh3,1.18
dept_chem,hostel_g_gh4,1.02
dept_chem,hostel_g_gh5,0.84
dept_chem,hostel_g_gh6,0.6
dept_chem,loc_lhc_a,1.23
dept_chem,loc_lhc_b,1.46
dept_chem,loc_main_building,0.81
dept_chem,loc_main_gate,1.21
dept_chem,mess_b1_karavali,3.2
dept_chem,mess_b2_aravali,3.64
dept_chem,mess_b3_vindhya,3.91
dept_chem,mess_b4_satpura,3.43
dept_chem,mess_b5_nilgiri,3.97
dept_chem,mess_b7_sahyadri,2.81
dept_chem,mess_b8_trishul,2.66
dept_chem,mess_gb,3.37
dept_chem,mess_mega,2.46
dept_chem,mess_pg_new_brahmagiri,3.48
dept_chem,mess_pg_pushpagiri,3.92
dept_chem,loc_suprabha_boys,3.03
dept_chem,loc_suprabha_girls,1.38
dept_chemistry,loc_boys_coop,0.37
dept_chemistry,loc_central_library,0.66
dept_chemistry,dept_chem,1.61
dept_chemistry,dept_chemistry,0.0
dept_chemistry,dept_civil,1.53
dept_chemistry,dept_cse,2.79
dept_chemistry,dept_ece,2.86
dept_chemistry,dept_eee,3.03
dept_chemistry,dept_hssm,0.23
dept_chemistry,dept_it,2.96
dept_chemistry,dept_macs,0.51
dept_chemistry,dept_mech,1.92
dept_chemistry,dept_mining,1.38
dept_chemistry,dept_mme,1.12
dept_chemistry,dept_physics,0.15
dept_chemistry,dept_wroe,1.86
dept_chemistry,loc_e_library,0.89
dept_chemistry,loc_girls_coop,2.81
dept_chemistry,hostel_b_block1,1.62
dept_chemistry,hostel_b_block2,2.06
dept_chemistry,hostel_b_block3,2.33
dept_chemistry,hostel_b_block4,1.85
dept_chemistry,hostel_b_block5,2.39
dept_chemistry,hostel_b_block6,2.34
dept_chemistry,hostel_b_block7,1.23
dept_chemistry,hostel_b_block8,1.08
dept_chemistry,hostel_b_brahmagiri,1.9
dept_chemistry,hostel_b_mt1,0.79
dept_chemistry,hostel_b_mt2,1.15
dept_chemistry,hostel_b_mt3,1.51
dept_chemistry,hostel_b_shivalik,0.7
dept_chemistry,hostel_g_gh1,2.31
dept_chemistry,hostel_g_gh2,2.07
dept_chemistry,hostel_g_gh3,2.35
dept_chemistry,hostel_g_gh4,2.51
dept_chemistry,hostel_g_gh5,2.45
dept_chemistry,hostel_g_gh6,2.21
dept_chemistry,loc_lhc_a,0.94
dept_chemistry,loc_lhc_b,0.68
dept_chemistry,loc_main_building,0.99
dept_chemistry,loc_main_gate,1.39
dept_chemistry,mess_b1_karavali,1.8
dept_chemistry,mess_b2_aravali,2.24
dept_chemistry,mess_b3_vindhya,2.51
dept_chemistry,mess_b4_satpura,2.03
dept_chemistry,mess_b5_nilgiri,2.57
dept_chemistry,mess_b7_sahyadri,1.41
dept_chemistry,mess_b8_trishul,1.26
dept_chemistry,mess_gb,1.97
dept_chemistry,mess_mega,1.06
dept_chemistry,mess_pg_new_brahmagiri,2.08
dept_chemistry,mess_pg_pushpagiri,2.52
dept_chemistry,loc_suprabha_boys,1.63
dept_chemistry,loc_suprabha_girls,2.99
dept_civil,loc_boys_coop,1.69
dept_civil,loc_central_library,0.87
dept_civil,dept_chem,1.16
dept_civil,dept_chemistry,1.53
dept_civil,dept_civil,0.0
dept_civil,dept_cse,1.4
dept_civil,dept_ece,1.4
dept_civil,dept_eee,1.57
dept_civil,dept_hssm,1.3
dept_civil,dept_it,1.5
dept_civil,dept_macs,1.02
dept_civil,dept_mech,0.85
dept_civil,dept_mining,0.15
dept_civil,dept_mme,0.87
dept_civil,dept_physics,1.38
dept_civil,dept_wroe,0.33
dept_civil,loc_e_library,0.92
dept_civil,loc_girls_coop,1.74
dept_civil,hostel_b_block1,2.94
dept_civil,hostel_b_block2,3.38
dept_civil,hostel_b_block3,3.65
dept_civil,hostel_b_block4,3.17
dept_civil,hostel_b_block5,3.71
dept_civil,hostel_b_block6,3.66
dept_civil,hostel_b_block7,2.55
dept_civil,hostel_b_block8,2.4
dept_civil,hostel_b_brahmagiri,3.22
dept_civil,hostel_b_mt1,2.11
dept_civil,hostel_b_mt2,2.47
dept_civil,hostel_b_mt3,2.83
dept_civil,hostel_b_shivalik,2.02
dept_civil,hostel_g_gh1,0.78
dept_civil,hostel_g_gh2,0.54
dept_civil,hostel_g_gh3,0.82
dept_civil,hostel_g_gh4,0.98
dept_civil,hostel_g_gh5,1.16
dept_civil,hostel_g_gh6,1.14
dept_civil,loc_lhc_a,1.15
dept_civil,loc_lhc_b,1.38
dept_civil,loc_main_building,0.55
dept_civil,loc_main_gate,0.49
dept_civil,mess_b1_karavali,3.12
dept_civil,mess_b2_aravali,3.56
dept_civil,mess_b3_vindhya,3.83
dept_civil,mess_b4_satpura,3.35
dept_civil,mess_b5_nilgiri,3.89
dept_civil,mess_b7_sahyadri,2.73
dept_civil,mess_b8_trishul,2.58
dept_civil,mess_gb,3.29
dept_civil,mess_mega,2.38
dept_civil,mess_pg_new_brahmagiri,3.4
dept_civil,mess_pg_pushpagiri,3.84
dept_civil,loc_suprabha_boys,2.95
dept_civil,loc_suprabha_girls,1.92
dept_cse,loc_boys_coop,2.95
dept_cse,loc_central_library,2.13
dept_cse,dept_chem,2.56
dept_cse,dept_chemistry,2.79
dept_cse,dept_civil,1.4
dept_cse,dept_cse,0.0
dept_cse,dept_ece,0.07
dept_cse,dept_eee,0.24
dept_cse,dept_hssm,2.56
dept_cse,dept_it,0.17
dept_cse,dept_macs,2.28
dept_cse,dept_mech,2.25
dept_cse,dept_mining,1.55
dept_cse,dept_mme,2.12
dept_cse,dept_physics,2.64
dept_cse,dept_wroe,1.73
dept_cse,loc_e_library,2.17
dept_cse,loc_girls_coop,3.14
dept_cse,hostel_b_block1,4.2
dept_cse,hostel_b_block2,4.64
dept_cse,hostel_b_block3,4.91
dept_cse,hostel_b_block4,4.43
dept_cse,hostel_b_block5,4.97
dept_cse,hostel_b_block6,4.92
dept_cse,hostel_b_block7,3.81
dept_cse,hostel_b_block8,3.66
dept_cse,hostel_b_brahmagiri,4.48
dept_cse,hostel_b_mt1,3.37
dept_cse,hostel_b_mt2,3.73
dept_cse,hostel_b_mt3,4.09
dept_cse,hostel_b_shivalik,3.28
dept_cse,hostel_g_gh1,2.18
dept_cse,hostel_g_gh2,1.94
dept_cse,hostel_g_gh3,2.22
dept_cse,hostel_g_gh4,2.38
dept_cse,hostel_g_gh5,2.56
dept_cse,hostel_g_gh6,2.54
dept_cse,loc_lhc_a,2.41
dept_cse,loc_lhc_b,2.64
dept_cse,loc_main_building,1.8
dept_cse,loc_main_gate,1.4
dept_cse,mess_b1_karavali,4.38
dept_cse,mess_b2_aravali,4.82
dept_cse,mess_b3_vindhya,5.09
dept_cse,mess_b4_satpura,4.61
dept_cse,mess_b5_nilgiri,5.15
dept_cse,mess_b7_sahyadri,3.99
dept_cse,mess_b8_trishul,3.84
dept_cse,mess_gb,4.55
dept_cse,mess_mega,3.64
dept_cse,mess_pg_new_brahmagiri,4.66
dept_cse,mess_pg_pushpagiri,5.1
dept_cse,loc_suprabha_boys,4.21
dept_cse,loc_suprabha_girls,3.32
dept_ece,loc_boys_coop,3.02
dept_ece,loc_central_library,2.2
dept_ece,dept_chem,2.56
dept_ece,dept_chemistry,2.86
dept_ece,dept_civil,1.4
dept_ece,dept_cse,0.07
dept_ece,dept_ece,0.0
dept_ece,dept_eee,0.17
dept_ece,dept_hssm,2.63
dept_ece,dept_it,0.1
dept_ece,dept_macs,2.35
dept_ece,dept_mech,2.25
dept_ece,dept_mining,1.55
dept_ece,dept_mme,2.19
dept_ece,dept_physics,2.71
dept_ece,dept_wroe,1.73
dept_ece,loc_e_library,2.24
dept_ece,loc_girls_coop,3.14
dept_ece,hostel_b_block1,4.27
dept_ece,hostel_b_block2,4.71
dept_ece,hostel_b_block3,4.98
dept_ece,hostel_b_block4,4.5
dept_ece,hostel_b_block5,5.04
dept_ece,hostel_b_block6,4.99
dept_ece,hostel_b_block7,3.88
dept_ece,hostel_b_block8,3.73
dept_ece,hostel_b_brahmagiri,4.55
dept_ece,hostel_b_mt1,3.44
dept_ece,hostel_b_mt2,3.8
dept_ece,hostel_b_mt3,4.16
dept_ece,hostel_b_shivalik,3.35
dept_ece,hostel_g_gh1,2.18
dept_ece,hostel_g_gh2,1.94
dept_ece,hostel_g_gh3,2.22
dept_ece,hostel_g_gh4,2.38
dept_ece,hostel_g_gh5,2.56
dept_ece,hostel_g_gh6,2.54
dept_ece,loc_lhc_a,2.48
dept_ece,loc_lhc_b,2.71
dept_ece,loc_main_building,1.87
dept_ece,loc_main_gate,1.47
dept_ece,mess_b1_karavali,4.45
dept_ece,mess_b2_aravali,4.89
dept_ece,mess_b3_vindhya,5.16
dept_ece,mess_b4_satpura,4.68
dept_ece,mess_b5_nilgiri,5.22
dept_ece,mess_b7_sahyadri,4.06
dept_ece,mess_b8_trishul,3.91
dept_ece,mess_gb,4.62
dept_ece,mess_mega,3.71
dept_ece,mess_pg_new_brahmagiri,4.73
dept_ece,mess_pg_pushpagiri,5.17
dept_ece,loc_suprabha_boys,4.28
dept_ece,loc_suprabha_girls,3.32
dept_eee,loc_boys_coop,3.19
dept_eee,loc_central_library,2.37
dept_eee,dept_chem,2.73
dept_eee,dept_chemistry,3.03
dept_eee,dept_civil,1.57
dept_eee,dept_cse,0.24
dept_eee,dept_ece,0.17
dept_eee,dept_eee,0.0
dept_eee,dept_hssm,2.8
dept_eee,dept_it,0.07
dept_eee,dept_macs,2.52
dept_eee,dept_mech,2.42
dept_eee,dept_mining,1.72
dept_eee,dept_mme,2.36
dept_eee,dept_physics,2.88
dept_eee,dept_wroe,1.9
dept_eee,loc_e_library,2.41
dept_eee,loc_girls_coop,3.31
dept_eee,hostel_b_block1,4.44
dept_eee,hostel_b_block2,4.88
dept_eee,hostel_b_block3,5.15
dept_eee,hostel_b_block4,4.67
dept_eee,hostel_b_block5,5.21
dept_eee,hostel_b_block6,5.16
dept_eee,hostel_b_block7,4.05
dept_eee,hostel_b_block8,3.9
dept_eee,hostel_b_brahmagiri,4.72
dept_eee,hostel_b_mt1,3.61
dept_eee,hostel_b_mt2,3.97
dept_eee,hostel_b_mt3,4.33
dept_eee,hostel_b_shivalik,3.52
dept_eee,hostel_g_gh1,2.35
dept_eee,hostel_g_gh2,2.11
dept_eee,hostel_g_gh3,2.39
dept_eee,hostel_g_gh4,2.55
dept_eee,hostel_g_gh5,2.73
dept_eee,hostel_g_gh6,2.71
dept_eee,loc_lhc_a,2.65
dept_eee,loc_lhc_b,2.88
dept_eee,loc_main_building,2.04
dept_eee,loc_main_gate,1.64
dept_eee,mess_b1_karavali,4.62
dept_eee,mess_b2_aravali,5.06
dept_eee,mess_b3_vindhya,5.33
dept_eee,mess_b4_satpura,4.85
dept_eee,mess_b5_nilgiri,5.39
dept_eee,mess_b7_sahyadri,4.23
dept_eee,mess_b8_trishul,4.08
dept_eee,mess_gb,4.79
dept_eee,mess_mega,3.88
dept_eee,mess_pg_new_brahmagiri,4.9
dept_eee,mess_pg_pushpagiri,5.34
dept_eee,loc_suprabha_boys,4.45
dept_eee,loc_suprabha_girls,3.49
dept_hssm,loc_boys_coop,0.6
dept_hssm,loc_central_library,0.43
dept_hssm,dept_chem,1.38
dept_hssm,dept_chemistry,0.23
dept_hssm,dept_civil,1.3
dept_hssm,dept_cse,2.56
dept_hssm,dept_ece,2.63
dept_hssm,dept_eee,2.8
dept_hssm,dept_hssm,0.0
dept_hssm,dept_it,2.73
dept_hssm,dept_macs,0.28
dept_hssm,dept_mech,1.69
dept_hssm,dept_mining,1.15
dept_hssm,dept_mme,0.89
dept_hssm,dept_physics,0.08
dept_hssm,dept_wroe,1.63
dept_hssm,loc_e_library,0.66
dept_hssm,loc_girls_coop,2.58
dept_hssm,hostel_b_block1,1.85
dept_hssm,hostel_b_block2,2.29
dept_hssm,hostel_b_block3,2.56
dept_hssm,hostel_b_block4,2.08
dept_hssm,hostel_b_block5,2.62
dept_hssm,hostel_b_block6,2.57
dept_hssm,hostel_b_block7,1.46
dept_hssm,hostel_b_block8,1.31
dept_hssm,hostel_b_brahmagiri,2.13
dept_hssm,hostel_b_mt1,1.02
dept_hssm,hostel_b_mt2,1.38
dept_hssm,hostel_b_mt3,1.74
dept_hssm,hostel_b_shivalik,0.93
dept_hssm,hostel_g_gh1,2.08
