vehicle_id,capacity,assigned_requests,current_occupancy
vehicle_001,4,3,4
vehicle_002,4,1,2
vehicle_003,4,1,1
vehicle_004,4,1,1
vehicle_005,4,2,2
vehicle_006,4,1,1
vehicle_007,4,4,4
vehicle_008,4,4,4
vehicle_009,4,1,2
vehicle_010,4,2,2
vehicle_011,4,1,1
vehicle_012,4,1,3
vehicle_013,4,2,2
vehicle_014,4,1,4
vehicle_015,4,2,4
vehicle_016,4,1,1
vehicle_017,4,3,4
vehicle_018,4,2,3
vehicle_019,4,1,2
vehicle_020,4,3,4
vehicle_021,4,3,3
vehicle_022,4,1,1
vehicle_023,4,2,4
vehicle_024,4,3,4
vehicle_025,4,4,4
